day,strategy,expected,attributed,gap
2026-09-15,ks_ext,880.0,-82084.0932615015,-82964.0932615015
2026-09-16,ks_ext,11491.25,29261.617741611408,17770.367741611408
2026-09-17,ks_ext,-6051.25,6059.071428571424,12110.321428571424
2026-08-18,chem_fund,0.0,0.0,0.0
2026-08-19,chem_fund,0.0,0.0,0.0
2026-08-20,chem_fund,0.0,0.0,0.0
2026-08-21,chem_fund,0.0,0.0,0.0
2026-08-24,chem_fund,0.0,0.0,0.0
2026-08-25,chem_fund,0.0,0.0,0.0
2026-08-26,chem_fund,0.0,0.0,0.0
2026-08-27,chem_fund,0.0,0.0,0.0
2026-08-31,chem_fund,4030.5,-15000.27489791446,-19030.77489791446
2026-09-01,chem_fund,12907.5,3884.5531295231867,-9022.946870476813
2026-09-02,chem_fund,5790.0,21754.116997227353,15964.116997227353
2026-09-03,chem_fund,-11452.5,-23859.7951852686,-12407.295185268598
2026-09-04,chem_fund,-2456.25,-9299.040076625195,-6842.790076625195
2026-09-07,chem_fund,-9562.5,2133.1022489783345,11695.602248978335
2026-09-08,chem_fund,8996.25,11088.472229760751,2092.2222297607514
2026-09-09,chem_fund,-1755.0,-1907.1183327315111,-152.11833273151115
2026-09-10,chem_fund,8737.5,23090.511882846207,14353.011882846207
2026-09-11,chem_fund,3712.5,6110.266942924856,2397.7669429248563
2026-09-14,chem_fund,24225.0,-18829.60331203,-43054.60331203
2026-09-15,chem_fund,-12795.0,-7894.915930773825,4900.084069226175
2026-09-16,chem_fund,-3457.5,4688.33229606155,8145.83229606155
2026-09-17,chem_fund,-8047.5,-33443.396405116255,-25395.896405116255
2026-08-18,agri_event,0.0,0.0,0.0
2026-08-19,agri_event,0.0,0.0,0.0
2026-08-20,agri_event,0.0,0.0,0.0
2026-08-21,agri_event,0.0,0.0,0.0
2026-08-24,agri_event,0.0,0.0,0.0
2026-08-25,agri_event,0.0,0.0,0.0
2026-08-26,agri_event,0.0,0.0,0.0
2026-08-27,agri_event,0.0,0.0,0.0
2026-08-31,agri_event,-3468.0,-1508.3400008540711,1959.6599991459289
2026-09-01,agri_event,2240.0,-2541.814882032668,-4781.814882032668
2026-09-02,agri_event,4800.0,5226.035285469247,426.03528546924736
2026-09-03,agri_event,-3180.0,4432.436847325127,7612.436847325127
2026-09-04,agri_event,530.0,2421.191523390644,1891.1915233906439
2026-09-07,agri_event,4160.0,-2434.4827586206898,-6594.48275862069
2026-09-08,agri_event,3590.0,4203.9473684210525,613.9473684210525
2026-09-09,agri_event,1100.0,4702.502673082064,3602.5026730820637
2026-09-10,agri_event,-5100.0,-13919.989062072736,-8819.989062072736
2026-09-11,agri_event,-7000.0,-877.0817417876247,6122.918258212376
2026-09-14,agri_event,-19020.0,-674.0147783251232,18345.985221674877
2026-09-15,agri_event,-12955.0,-2720.686792782559,10234.313207217441
2026-09-16,agri_event,-14940.0,-525.6470350199799,14414.35296498002
2026-09-17,agri_event,-4040.0,-5823.260393873085,-1783.2603938730854
2026-08-18,stat_arb,0.0,0.0,0.0
2026-08-19,stat_arb,0.0,0.0,0.0
2026-08-20,stat_arb,0.0,0.0,0.0
2026-08-21,stat_arb,0.0,0.0,0.0
2026-08-24,stat_arb,0.0,0.0,0.0
2026-08-25,stat_arb,0.0,0.0,0.0
2026-08-26,stat_arb,0.0,0.0,0.0
2026-08-27,stat_arb,0.0,0.0,0.0
2026-08-31,stat_arb,3603.25,3846.8969386577255,243.6469386577255
2026-09-01,stat_arb,-3964.375,-7149.897564382154,-3185.522564382154
2026-09-02,stat_arb,0.0,0.0,0.0
2026-09-03,stat_arb,-2043.75,3176.4669628773927,5220.216962877393
2026-09-04,stat_arb,-600.0,-5335.988848939272,-4735.988848939272
2026-09-07,stat_arb,-8140.625,-4728.20094670781,3412.4240532921904
2026-09-08,stat_arb,-3159.375,-8347.683693026584,-5188.308693026584
2026-09-09,stat_arb,7416.25,-4335.054314786153,-11751.304314786154
2026-09-10,stat_arb,7525.0,20925.02154089923,13400.02154089923
2026-09-11,stat_arb,-2057.5,-13162.869895459073,-11105.369895459073
2026-09-14,stat_arb,-901.25,-16755.08064492272,-15853.83064492272
2026-09-15,stat_arb,-9702.5,-6889.080547770083,2813.4194522299167
2026-09-16,stat_arb,-26006.25,-34989.100293029005,-8982.850293029005
2026-09-17,stat_arb,-8326.25,-22817.59389781121,-14491.34389781121
